Country,Director,Genre,Language,Metascore,Production,Rated,Runtime,Title,Year,imdbRating,month
USA,Henry Koster,Comedy,English,,RKO Radio Pictures,Not Rated,109,The Bishop's Wife,1947,7.6,2
USA,Edward Dmytryk,Crime,English,,WARNER BROTHERS PICTURES,Approved,86,Crossfire,1947,7.3,8
USA,Elia Kazan,Drama,English,,Twentieth Century Fox Home Entertainment,Not Rated,118,Gentleman's Agreement,1947,7.2,3
USA,George Seaton,Comedy,English,88,20th Century Fox,Not Rated,96,Miracle on 34th Street,1947,7.9,10
UK,Laurence Olivier,Drama,English,,Universal,Not Rated,154,Hamlet,1948,7.7,8
USA,Jean Negulesco,Drama,English,,Warner Bros. Pictures,Unrated,102,Johnny Belinda,1948,7.8,9
UK,"Michael Powell, Emeric Pressburger",Drama,English,,Eagle-Lion Films,Not Rated,135,The Red Shoes,1948,8.2,9
USA,Anatole Litvak,Drama,English,,20th Century Fox Film Corporation,Not Rated,108,The Snake Pit,1948,7.6,11
USA,John Huston,Adventure,English,98,WARNER BROTHERS PICTURES,Passed,126,The Treasure of the Sierra Madre,1948,8.2,1
USA,Robert Rossen,Drama,English,,Sony Pictures Home Entertainment,Approved,110,All the King's Men,1949,7.5,1
USA,William A. Wellman,Action,English,,MGM,Approved,118,Battleground,1949,7.4,1
USA,William Wyler,Drama,English,,Paramount Pictures,Not Rated,115,The Heiress,1949,8.2,12
USA,Joseph L. Mankiewicz,Drama,English,,Fox,Not Rated,103,A Letter to Three Wives,1949,7.8,2
USA,Henry King,Drama,English,,Twentieth Century Fox Home Entertainment,Not Rated,132,Twelve O'Clock High,1949,7.7,2
USA,Joseph L. Mankiewicz,Drama,English,98,20th Century Fox,Passed,138,All About Eve,1950,8.2,10
USA,George Cukor,Comedy,English,,Columbia Pictures,Not Rated,103,Born Yesterday,1950,7.6,2
USA,Vincente Minnelli,Comedy,English,,MGM,Not Rated,92,Father of the Bride,1950,7.2,6
USA,"Compton Bennett, Andrew Marton",Action,English,,MGM Home Entertainment,Passed,103,King Solomon's Mines,1950,6.8,11
USA,Billy Wilder,Drama,English,,Paramount Pictures,Not Rated,110,Sunset Blvd.,1950,8.4,9
USA,Vincente Minnelli,Drama,English,84,MGM,Passed,114,An American in Paris,1951,7.2,11
USA,Anatole Litvak,Drama,English,,20th Century Fox Film Corporation,Not Rated,119,Decision Before Dawn,1951,7.3,2
USA,George Stevens,Drama,English,76,Paramount Pictures,Passed,122,A Place in the Sun,1951,7.8,10
USA,"Mervyn LeRoy, Anthony Mann",Biography,English,,MGM Home Entertainment,Not Rated,171,Quo Vadis,1951,7.2,12
USA,Elia Kazan,Drama,English,96,Warner Bros. Pictures,PG,122,A Streetcar Named Desire,1951,8,12
USA,Cecil B. DeMille,Drama,English,,Paramount Pictures,Passed,152,The Greatest Show on Earth,1952,6.6,5
USA,Fred Zinnemann,Drama,English,89,United Artists,PG,85,High Noon,1952,7.9,7
UK,Richard Thorpe,Adventure,English,,MGM Home Entertainment,Approved,106,Ivanhoe,1952,6.8,2
UK,John Huston,Biography,English,,United Artists,Not Rated,119,Moulin Rouge,1952,7.1,4
USA,John Ford,Comedy,English,,Republic Pictures,Passed,129,The Quiet Man,1952,7.8,9
USA,Fred Zinnemann,Drama,English,85,NCM Fathom,Passed,118,From Here to Eternity,1953,7.6,8
USA,Joseph L. Mankiewicz,Biography,English,,MGM Home Entertainment,Not Rated,120,Julius Caesar,1953,7.3,6
USA,Henry Koster,Drama,English,,20th Century Fox,Unrated,135,The Robe,1953,6.7,12
USA,William Wyler,Comedy,English,78,Paramount Pictures,Not Rated,118,Roman Holiday,1953,8,9
USA,George Stevens,Drama,English,80,Paramount Home Video,Not Rated,118,Shane,1953,7.6,10
USA,Edward Dmytryk,Drama,English,63,Sony Pictures Home Entertainment,Not Rated,124,The Caine Mutiny,1954,7.7,6
USA,George Seaton,Drama,English,,Paramount Pictures,Unrated,104,The Country Girl,1954,7.3,5
USA,Elia Kazan,Crime,English,91,Sony Pictures,Not Rated,108,On the Waterfront,1954,8.1,6
USA,Stanley Donen,Comedy,English,75,MGM Home Entertainment,G,102,Seven Brides for Seven Brothers,1954,7.4,8
USA,Jean Negulesco,Drama,English,,20th Century Fox Film Corporation,G,102,Three Coins in the Fountain,1954,6.3,5
USA,"Henry King, Otto Lang",Biography,English,,20th Century Fox Film Corporation,Approved,102,Love Is a Many-Splendored Thing,1955,6.5,9
USA,Delbert Mann,Drama,English,,MGM Home Entertainment,Not Rated,90,Marty,1955,7.7,6
USA,"John Ford, Mervyn LeRoy, Joshua Logan",Comedy,English,,Warner Home Video,Not Rated,123,Mister Roberts,1955,7.7,7
USA,"Joseph Barbera, William Hanna",Animation,English,,,Approved,7,Pup on a Picnic,1955,7.4,4
USA,Daniel Mann,Comedy,English,,Paramount Pictures,Unrated,117,The Rose Tattoo,1955,7.2,12
USA,"Michael Anderson, John Farrow",Adventure,English,,United Artists,G,175,Around the World in 80 Days,1956,6.8,10
USA,William Wyler,Drama,English,,Twentieth Century Fox Home Entertainment,Passed,137,Friendly Persuasion,1956,7.4,11
USA,George Stevens,Drama,English,84,Warner Bros. Pictures,G,201,Giant,1956,7.6,11
USA,Walter Lang,Biography,English,72,20th Century Fox,G,133,The King and I,1956,7.4,6
USA,Cecil B. DeMille,Adventure,English,,Paramount Pictures,G,220,The Ten Commandments,1956,7.8,10
UK,David Lean,Adventure,English,87,Columbia Pictures,PG,161,The Bridge on the River Kwai,1957,8.1,12
USA,Mark Robson,Drama,English,,20th Century Fox,Approved,157,Peyton Place,1957,7.2,3
USA,Joshua Logan,Drama,English,,MGM Home Entertainment,Not Rated,147,Sayonara,1957,7.1,12
USA,Sidney Lumet,Drama,English,96,Criterion Collection,Not Rated,96,12 Angry Men,1957,8.9,4
USA,Billy Wilder,Crime,English,,MGM,Not Rated,116,Witness for the Prosecution,1957,8.4,2
USA,Morton DaCosta,Comedy,English,,Warner Bros. Pictures,Approved,143,Auntie Mame,1958,7.9,12
USA,Richard Brooks,Drama,English,80,MGM Home Entertainment,Not Rated,108,Cat on a Hot Tin Roof,1958,8,8
USA,Stanley Kramer,Crime,English,69,MGM Home Entertainment,Approved,96,The Defiant Ones,1958,7.6,9
USA,"Vincente Minnelli, Charles Walters",Comedy,English,82,MGM Home Entertainment,G,115,Gigi,1958,6.7,6
USA,Delbert Mann,Drama,English,,MGM Home Entertainment,Approved,100,Separate Tables,1958,7.4,2
USA,Otto Preminger,Crime,English,95,Sony Pictures Home Entertainment,Not Rated,161,Anatomy of a Murder,1959,8,9
USA,William Wyler,Adventure,English,90,MGM,G,212,Ben-Hur,1959,8.1,1
USA,George Stevens,Biography,English,59,Fox,Approved,180,The Diary of Anne Frank,1959,7.4,4
USA,Fred Zinnemann,Drama,English,,Warner Home Video,Not Rated,149,The Nun's Story,1959,7.6,7
UK,Jack Clayton,Drama,English,,Lion International Films,Not Rated,115,Room at the Top,1959,7.7,1
USA,John Wayne,Adventure,English,,Batjac Productions,Passed,162,The Alamo,1960,6.9,10
USA,Billy Wilder,Comedy,English,94,United Artists,Not Rated,125,The Apartment,1960,8.3,9
USA,Richard Brooks,Drama,English,,MGM Home Entertainment,Approved,146,Elmer Gantry,1960,7.8,7
UK,Jack Cardiff,Drama,English,,20th Century Fox,Not Rated,103,Sons and Lovers,1960,7.1,7
UK,Fred Zinnemann,Drama,English,82,Warner Home Video,Unrated,133,The Sundowners,1960,7.1,12
USA,Joshua Logan,Drama,English,,Westchester Films,Not Rated,134,Fanny,1961,7,6
UK,J. Lee Thompson,Action,English,,Columbia Pictures,TV-PG,158,The Guns of Navarone,1961,7.5,4
USA,Robert Rossen,Drama,English,90,Fox,Not Rated,134,The Hustler,1961,8,9
USA,Stanley Kramer,Drama,English,60,United Artists,Not Rated,179,Judgment at Nuremberg,1961,8.2,12
USA,"Jerome Robbins, Robert Wise",Crime,English,86,United Artists Films,Not Rated,153,West Side Story,1961,7.5,12
UK,David Lean,Adventure,English,100,Columbia Pictures,Approved,228,Lawrence of Arabia,1962,8.3,12
USA,"Ken Annakin, Andrew Marton, Bernhard Wicki, Gerd Oswald, Darryl F. Zanuck",Action,English,75,Twentieth Century Fox Home Entertainment,G,178,The Longest Day,1962,7.8,10
USA,"Lewis Milestone, Carol Reed",Adventure,English,,WARNER BROTHERS PICTURES,Not Rated,178,Mutiny on the Bounty,1962,7.3,11
USA,Robert Mulligan,Crime,English,88,Universal International Pictur,Not Rated,129,To Kill a Mockingbird,1962,8.3,3
USA,Elia Kazan,Drama,English,,Warner Home Video,Not Rated,174,America America,1963,7.8,6
Switzerland,Joseph L. Mankiewicz,Biography,English,60,20th Century Fox,G,192,Cleopatra,1963,7,7
USA,Ralph Nelson,Drama,English,,Twentieth Century Fox Home Entertainment,Unrated,94,Lilies of the Field,1963,7.6,7
UK,Tony Richardson,Adventure,English,77,Woodfall Film Productions,Not Rated,129,Tom Jones,1963,6.5,6
UK,Peter Glenville,Biography,English,68,Slowhand Releasing,PG-13,148,Becket,1964,7.8,3
UK,Stanley Kubrick,Comedy,English,97,Sony Pictures,PG,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,1
USA,Robert Stevenson,Comedy,English,88,Walt Disney Productions,G,139,Mary Poppins,1964,7.8,6
USA,George Cukor,Drama,English,95,Warner Bros. Pictures,G,170,My Fair Lady,1964,7.8,12
Greece,Michael Cacoyannis,Comedy,English,,Fox,Not Rated,142,Zorba the Greek,1964,7.7,12
UK,John Schlesinger,Drama,English,,Lionsgate,TV-MA,128,Darling,1965,7.2,8
USA,David Lean,Drama,English,69,MGM,PG-13,197,Doctor Zhivago,1965,8,12
USA,Stanley Kramer,Drama,English,,Columbia Pictures,Not Rated,149,Ship of Fools,1965,7.2,10
USA,Robert Wise,Biography,English,63,20th Century-Fox,G,172,The Sound of Music,1965,8,4
USA,Fred Coe,Comedy,English,,Harrell Incoporated,Unrated,118,A Thousand Clowns,1965,7.5,9
UK,Lewis Gilbert,Comedy,English,,Paramount Pictures,PG,114,Alfie,1966,7.1,8
UK,Fred Zinnemann,Biography,English,72,Sony Pictures Home Entertainment,G,120,A Man for All Seasons,1966,7.7,5
USA,Robert Wise,Adventure,English,,Twentieth Century Fox Home Entertainment,PG-13,182,The Sand Pebbles,1966,7.6,12
USA,Mike Nichols,Drama,English,75,Warner Home Video,Not Rated,131,Who's Afraid of Virginia Woolf?,1966,8,6
USA,Arthur Penn,Action,English,86,Warner Brothers/Seven Arts,R,111,Bonnie and Clyde,1967,7.8,8
USA,Richard Fleischer,Adventure,English,34,20th Century Fox,Approved,152,Doctor Dolittle,1967,6.2,12
USA,Mike Nichols,Comedy,English,83,Embassy Pictures/Rialto Pictures,PG,106,The Graduate,1967,8,12
USA,Stanley Kramer,Comedy,English,63,Columbia Pictures Corporation,Not Rated,108,Guess Who's Coming to Dinner,1967,7.8,12
USA,Norman Jewison,Crime,English,75,MGM,Not Rated,110,In the Heat of the Night,1967,8,8
USA,William Wyler,Biography,English,89,Columbia Pictures,G,151,Funny Girl,1968,7.4,9
UK,Anthony Harvey,Biography,English,,Nelson Entertainment,PG,134,The Lion in Winter,1968,7.9,10
UK,Carol Reed,Drama,English,74,Sony Pictures Home Entertainment,G,153,Oliver!,1968,7.4,9
USA,Paul Newman,Drama,English,,Warner Bros.,APPROVED,101,"Rachel, Rachel",1968,7.5,8
UK,Franco Zeffirelli,Drama,English,,Paramount Home Video,PG,138,Romeo and Juliet,1968,7.6,10
UK,Charles Jarrott,Biography,English,,Universal Pictures,PG,145,Anne of the Thousand Days,1969,7.5,12
USA,George Roy Hill,Biography,English,66,20th Century Fox,PG,110,Butch Cassidy and the Sundance Kid,1969,8,9
USA,Gene Kelly,Adventure,English,51,20th Century Fox,G,146,"Hello, Dolly!",1969,7.1,12
USA,John Schlesinger,Drama,English,79,United Artists,R,113,Midnight Cowboy,1969,7.8,6
France,Costa-Gavras,Crime,French,,Rialto Pictures,M/PG,127,Z,1969,8.3,12
USA,"George Seaton, Henry Hathaway",Action,English,42,Universal Pictures,G,137,Airport,1970,6.6,3
USA,Bob Rafelson,Drama,English,85,Columbia Pictures,R,98,Five Easy Pieces,1970,7.5,9
USA,Arthur Hiller,Drama,English,84,Paramount Pictures,PG,100,Love Story,1970,6.9,12
USA,Franklin J. Schaffner,Biography,English,91,Twentieth Century Fox Home Entertainment,GP,172,Patton,1970,7.9,4
UK,Stanley Kubrick,Crime,English,80,Warner Bros.,R,136,A Clockwork Orange,1971,8.3,2
