Year,Category,Winner,Title,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
1999,BEST PICTURE,True,American Beauty,10,R,122,USA,Sam Mendes,Drama,English,Dreamworks,84.0,8.3
1999,BEST PICTURE,False,The Cider House Rules,1,PG-13,126,USA,Lasse Hallström,Drama,English,Miramax,75.0,7.4
1999,BEST PICTURE,False,The Green Mile,12,R,189,USA,Frank Darabont,Crime,English,Warner Bros. Pictures,61.0,8.6
1999,BEST PICTURE,False,The Insider,11,R,157,USA,Michael Mann,Biography,English,Buena Vista Pictures,84.0,7.8
1999,BEST PICTURE,False,The Sixth Sense,8,PG-13,107,USA,M. Night Shyamalan,Drama,English,Hollywood/Buena Vista,64.0,8.1
2000,BEST PICTURE,False,Chocolat,1,PG-13,121,UK,Lasse Hallström,Drama,English,Miramax,64.0,7.2
2000,BEST PICTURE,False,"Crouching Tiger, Hidden Dragon",1,PG-13,120,Taiwan,Ang Lee,Action,Mandarin,Sony Pictures Classics,93.0,7.8
2000,BEST PICTURE,False,Erin Brockovich,3,R,131,USA,Steven Soderbergh,Biography,English,Universal Pictures,73.0,7.3
2000,BEST PICTURE,True,Gladiator,5,R,155,USA,Ridley Scott,Action,English,Dreamworks Distribution LLC,67.0,8.5
2000,BEST PICTURE,False,Traffic,1,R,147,USA,Steven Soderbergh,Crime,English,USA Films,86.0,7.6
2001,BEST PICTURE,True,A Beautiful Mind,1,PG-13,135,USA,Ron Howard,Biography,English,Universal Pictures,72.0,8.2
2001,BEST PICTURE,False,Gosford Park,1,R,131,USA,Robert Altman,Comedy,English,USA Films,90.0,7.2
2001,BEST PICTURE,False,In the Bedroom,2,R,130,USA,Todd Field,Crime,English,Miramax Films,86.0,7.4
2001,BEST PICTURE,False,The Lord of the Rings: The Fellowship of the Ring,12,PG-13,178,New Zealand,Peter Jackson,Adventure,English,New Line Cinema,92.0,8.8
2002,BEST PICTURE,True,Chicago,1,PG-13,113,USA,Rob Marshall,Comedy,English,Miramax Films,82.0,7.1
2002,BEST PICTURE,False,Gangs of New York,12,R,167,USA,Martin Scorsese,Crime,English,Miramax Films,72.0,7.5
2002,BEST PICTURE,False,The Hours,2,PG-13,110,USA,Stephen Daldry,Drama,English,Miramax Films,80.0,7.5
2002,BEST PICTURE,False,The Lord of the Rings: The Two Towers,12,PG-13,179,New Zealand,Peter Jackson,Adventure,English,New Line Cinema,87.0,8.7
2002,BEST PICTURE,False,The Pianist,3,R,150,UK,Roman Polanski,Biography,English,Focus Features,85.0,8.5
2003,BEST PICTURE,True,The Lord of the Rings: The Return of the King,12,PG-13,201,New Zealand,Peter Jackson,Adventure,English,New Line Cinema,94.0,8.9
2003,BEST PICTURE,False,Lost in Translation,10,R,102,USA,Sofia Coppola,Drama,English,Focus Features,89.0,7.7
2003,BEST PICTURE,False,Master and Commander: The Far Side of the World,11,PG-13,138,USA,Peter Weir,Action,English,20th Century Fox,81.0,7.4
2003,BEST PICTURE,False,Mystic River,10,R,138,USA,Clint Eastwood,Crime,English,WB,84.0,7.9
2003,BEST PICTURE,False,Seabiscuit,7,PG-13,140,USA,Gary Ross,Drama,English,Universal Pictures,72.0,7.3
2004,BEST PICTURE,False,The Aviator,12,PG-13,170,USA,Martin Scorsese,Biography,English,Miramax,77.0,7.5
2004,BEST PICTURE,False,Finding Neverland,12,PG,106,USA,Marc Forster,Biography,English,Miramax Films,67.0,7.7
2004,BEST PICTURE,True,Million Dollar Baby,1,PG-13,132,USA,Clint Eastwood,Drama,English,Warner Bros. Pictures,86.0,8.1
2004,BEST PICTURE,False,Ray,10,PG-13,152,USA,Taylor Hackford,Biography,English,Universal Pictures,73.0,7.7
2004,BEST PICTURE,False,Sideways,1,R,127,USA,Alexander Payne,Comedy,English,Fox Searchlight Pictures,94.0,7.5
2005,BEST PICTURE,False,Brokeback Mountain,1,R,134,USA,Ang Lee,Drama,English,Focus Features,87.0,7.7
2005,BEST PICTURE,False,Capote,2,R,114,USA,Bennett Miller,Biography,English,Sony Pictures Classics,88.0,7.3
2005,BEST PICTURE,True,Crash,3,,10,Spain,Nacho Vigalondo,Short,Spanish,,,6.3
2005,BEST PICTURE,False,"Good Night, and Good Luck.",11,PG,93,USA,George Clooney,Biography,English,Warner Independent Pictures,80.0,7.4
2005,BEST PICTURE,False,Munich,1,R,164,France,Steven Spielberg,Biography,English,Universal Pictures,74.0,7.5
2006,BEST PICTURE,False,Babel,11,R,143,France,Alejandro G. Iñárritu,Drama,English,Paramount Classics,69.0,7.4
2006,BEST PICTURE,True,The Departed,10,R,151,USA,Martin Scorsese,Crime,English,Warner Bros. Pictures,85.0,8.5
2006,BEST PICTURE,False,Letters from Iwo Jima,2,R,141,USA,Clint Eastwood,Action,Japanese,Warner Bros. Pictures,89.0,7.9
2006,BEST PICTURE,False,Little Miss Sunshine,8,R,101,USA,"Jonathan Dayton, Valerie Faris",Comedy,English,Fox Searchlight,80.0,7.8
2006,BEST PICTURE,False,The Queen,11,PG-13,103,UK,Stephen Frears,Biography,English,Miramax Films,91.0,7.3
2007,BEST PICTURE,False,Atonement,1,R,123,UK,Joe Wright,Drama,English,Focus Features,85.0,7.8
2007,BEST PICTURE,False,Juno,12,PG-13,96,USA,Jason Reitman,Comedy,English,Fox Searchlight,81.0,7.4
2007,BEST PICTURE,False,Michael Clayton,10,R,119,USA,Tony Gilroy,Crime,English,Warner Bros. Pictures,82.0,7.2
2007,BEST PICTURE,True,No Country for Old Men,11,R,122,USA,"Ethan Coen, Joel Coen",Crime,English,Miramax Films,91.0,8.1
2007,BEST PICTURE,False,There Will Be Blood,1,R,158,USA,Paul Thomas Anderson,Drama,English,Paramount Vantage,93.0,8.1
2008,BEST PICTURE,False,The Curious Case of Benjamin Button,12,PG-13,166,USA,David Fincher,Drama,English,Paramount,70.0,7.8
2008,BEST PICTURE,False,Frost/Nixon,1,R,122,UK,Ron Howard,Biography,English,Universal Pictures,80.0,7.7
2008,BEST PICTURE,False,Milk,1,R,128,USA,Gus Van Sant,Biography,English,Focus Features,84.0,7.5
2008,BEST PICTURE,False,The Reader,1,R,124,Germany,Stephen Daldry,Drama,English,The Weinstein Co./MGM,58.0,7.6
2008,BEST PICTURE,True,Slumdog Millionaire,12,R,120,UK,"Danny Boyle, Loveleen Tandan(co-director)",Drama,English,Fox Searchlight Pictures,86.0,8.0
2009,BEST PICTURE,False,Avatar,12,PG-13,162,USA,James Cameron,Action,English,20th Century Fox,83.0,7.8
2009,BEST PICTURE,False,The Blind Side,11,PG-13,129,USA,John Lee Hancock,Biography,English,Warner Bros. Pictures,53.0,7.6
2009,BEST PICTURE,False,District 9,8,R,112,South Africa,Neill Blomkamp,Action,English,Sony Pictures/Screen Gems,81.0,7.9
2009,BEST PICTURE,False,An Education,2,PG-13,100,UK,Lone Scherfig,Drama,English,Sony Classics,85.0,7.3
2009,BEST PICTURE,True,The Hurt Locker,7,R,131,USA,Kathryn Bigelow,Drama,English,Summit Entertainment,95.0,7.6
2009,BEST PICTURE,False,Inglourious Basterds,8,R,153,USA,Quentin Tarantino,Adventure,English,The Weinstein Company,69.0,8.3
2009,BEST PICTURE,False,A Serious Man,11,R,106,USA,"Ethan Coen, Joel Coen",Comedy,English,Focus Features,79.0,7.0
2009,BEST PICTURE,False,Up,5,PG,96,USA,"Pete Docter, Bob Peterson(co-director)",Animation,English,Walt Disney Pictures,88.0,8.2
2009,BEST PICTURE,False,Up in the Air,12,R,109,USA,Jason Reitman,Comedy,English,Paramount Pictures,83.0,7.4
2010,BEST PICTURE,False,Black Swan,12,R,108,USA,Darren Aronofsky,Drama,English,Fox Searchlight,79.0,8.0
2010,BEST PICTURE,False,The Fighter,12,R,116,USA,David O. Russell,Biography,English,Paramount Pictures,79.0,7.8
2010,BEST PICTURE,False,Inception,7,PG-13,148,USA,Christopher Nolan,Action,English,Warner Bros. Pictures,74.0,8.8
2010,BEST PICTURE,False,The Kids Are All Right,7,R,106,USA,Lisa Cholodenko,Comedy,English,Focus Features,86.0,7.0
2010,BEST PICTURE,True,The King's Speech,12,R,118,UK,Tom Hooper,Biography,English,The Weinstein Company,88.0,8.0
2010,BEST PICTURE,False,127 Hours,1,R,94,USA,Danny Boyle,Biography,English,Fox Searchlight,82.0,7.6
2010,BEST PICTURE,False,The Social Network,10,PG-13,120,USA,David Fincher,Biography,English,Columbia Pictures,95.0,7.7
2010,BEST PICTURE,False,Toy Story 3,6,G,103,USA,Lee Unkrich,Animation,English,Walt Disney Pictures,92.0,8.3
2010,BEST PICTURE,False,True Grit,12,PG-13,110,USA,"Ethan Coen, Joel Coen",Drama,English,Paramount Pictures,80.0,7.6
2010,BEST PICTURE,False,Winter's Bone,7,R,100,USA,Debra Granik,Drama,English,Roadside Attractions,90.0,7.2
2011,BEST PICTURE,True,The Artist,1,PG-13,100,France,Michel Hazanavicius,Comedy,English,The Weinstein Company,89.0,7.9
2011,BEST PICTURE,False,The Descendants,12,R,115,USA,Alexander Payne,Comedy,English,Fox Searchlight Pictures,84.0,7.3
2011,BEST PICTURE,False,Extremely Loud & Incredibly Close,1,PG-13,129,USA,Stephen Daldry,Adventure,English,Warner Bros. Pictures,46.0,6.9
2011,BEST PICTURE,False,The Help,8,PG-13,146,USA,Tate Taylor,Drama,English,DreamWorks Studios,62.0,8.1
2011,BEST PICTURE,False,Hugo,11,PG,126,UK,Martin Scorsese,Drama,English,Paramount Studios,83.0,7.5
2011,BEST PICTURE,False,Midnight in Paris,6,PG-13,94,Spain,Woody Allen,Comedy,English,Sony Pictures Classics,81.0,7.7
2011,BEST PICTURE,False,Moneyball,9,PG-13,133,USA,Bennett Miller,Biography,English,Sony Pictures,87.0,7.6
2011,BEST PICTURE,False,The Tree of Life,5,PG-13,139,USA,Terrence Malick,Drama,English,Fox Searchlight,85.0,6.8
2011,BEST PICTURE,False,War Horse,12,PG-13,146,USA,Steven Spielberg,Action,English,Walt Disney Pictures,72.0,7.2
2012,BEST PICTURE,False,Amour,9,PG-13,127,Austria,Michael Haneke,Drama,French,Sony Pictures Classics,94.0,7.9
2012,BEST PICTURE,True,Argo,10,R,120,USA,Ben Affleck,Biography,English,Warner Bros. Pictures,86.0,7.7
2012,BEST PICTURE,False,Beasts of the Southern Wild,7,PG-13,93,USA,Benh Zeitlin,Adventure,English,Fox Searchlight,86.0,7.3
2012,BEST PICTURE,False,Django Unchained,12,R,165,USA,Quentin Tarantino,Drama,English,The Weinstein Co.,81.0,8.4
2012,BEST PICTURE,False,Les Misérables,4,Approved,108,USA,Richard Boleslawski,Drama,English,20th Century Fox Film Corporation,,7.6
2012,BEST PICTURE,False,Les Misérables,12,PG-13,158,UK,Tom Hooper,Drama,English,Universal Pictures,63.0,7.6
2012,BEST PICTURE,False,Life of Pi,11,PG,127,USA,Ang Lee,Adventure,English,20th Century Fox,79.0,7.9
2012,BEST PICTURE,False,Lincoln,11,PG-13,150,USA,Steven Spielberg,Biography,English,Dreamworks Pictures,86.0,7.3
2012,BEST PICTURE,False,Silver Linings Playbook,12,R,122,USA,David O. Russell,Comedy,English,The Weinstein Company,81.0,7.7
2012,BEST PICTURE,False,Zero Dark Thirty,1,R,157,USA,Kathryn Bigelow,Drama,English,Columbia Pictures,95.0,7.4
2013,BEST PICTURE,False,American Hustle,12,R,138,USA,David O. Russell,Crime,English,Sony Pictures,90.0,7.2
2013,BEST PICTURE,False,Captain Phillips,10,PG-13,134,USA,Paul Greengrass,Biography,English,Sony Pictures,83.0,7.8
2013,BEST PICTURE,False,Dallas Buyers Club,11,R,117,USA,Jean-Marc Vallée,Biography,English,Focus Features,84.0,8.0
2013,BEST PICTURE,False,Gravity,10,PG-13,91,UK,Alfonso Cuarón,Drama,English,Warner Bros. Pictures,96.0,7.7
2013,BEST PICTURE,False,Her,1,R,126,USA,Spike Jonze,Drama,English,Warner Bros. Pictures,90.0,8.0
2013,BEST PICTURE,False,Nebraska,1,R,115,USA,Alexander Payne,Adventure,English,Paramount Pictures,86.0,7.7
2013,BEST PICTURE,False,Philomena,11,PG-13,98,UK,Stephen Frears,Biography,English,The Weinstein Company,77.0,7.6
2013,BEST PICTURE,True,12 Years a Slave,11,R,134,USA,Steve McQueen,Biography,English,Fox Searchlight,96.0,8.1
2013,BEST PICTURE,False,The Wolf of Wall Street,12,R,180,USA,Martin Scorsese,Biography,English,Paramount Studios,75.0,8.2
2014,BEST PICTURE,False,American Sniper,1,R,133,USA,Clint Eastwood,Action,English,Warner Bros.,72.0,7.3
2014,BEST PICTURE,True,Birdman or (The Unexpected Virtue of Ignorance),11,R,119,USA,Alejandro G. Iñárritu,Comedy,English,Fox Searchlight,87.0,7.7
2014,BEST PICTURE,False,Boyhood,8,R,165,USA,Richard Linklater,Drama,English,IFC Films,100.0,7.9
2014,BEST PICTURE,False,The Grand Budapest Hotel,3,R,99,Germany,Wes Anderson,Adventure,English,Fox Searchlight,88.0,8.1
2014,BEST PICTURE,False,The Imitation Game,12,PG-13,114,UK,Morten Tyldum,Biography,English,The Weinstein Company,73.0,8.0
2014,BEST PICTURE,False,Selma,1,PG-13,128,UK,Ava DuVernay,Biography,English,Paramount Pictures,88.0,7.5
2014,BEST PICTURE,False,The Theory of Everything,11,PG-13,123,UK,James Marsh,Biography,English,Focus Features,72.0,7.7
2014,BEST PICTURE,False,Whiplash,10,R,106,USA,Damien Chazelle,Drama,English,Sony Pictures Classics,88.0,8.5
2015,BEST PICTURE,False,The Big Short,12,R,130,USA,Adam McKay,Biography,English,Paramount Pictures,81.0,7.8
2015,BEST PICTURE,False,Bridge of Spies,10,PG-13,142,Germany,Steven Spielberg,Drama,English,Dreamworks Pictures,81.0,7.6
2015,BEST PICTURE,False,Brooklyn,11,PG-13,117,UK,John Crowley,Drama,English,Fox Searchlight Pictures,88.0,7.5
2015,BEST PICTURE,False,Mad Max: Fury Road,5,R,120,Australia,George Miller,Action,English,Warner Bros.,90.0,8.1
2015,BEST PICTURE,False,The Martian,10,PG-13,144,UK,Ridley Scott,Adventure,English,20th Century Fox,80.0,8.0
2015,BEST PICTURE,False,The Revenant,1,R,156,USA,Alejandro G. Iñárritu,Action,English,20th Century Fox,76.0,8.0
2015,BEST PICTURE,False,Room,1,R,118,Ireland,Lenny Abrahamson,Drama,English,Element Pictures,86.0,8.1
2015,BEST PICTURE,True,Spotlight,11,R,129,USA,Tom McCarthy,Biography,English,Open Road Films,93.0,8.1
2016,BEST PICTURE,False,Arrival,11,PG-13,116,USA,Denis Villeneuve,Drama,English,21 Laps Entertainment,81.0,7.9
2016,BEST PICTURE,False,Fences,12,PG-13,139,USA,Denzel Washington,Drama,English,Paramount Pictures,79.0,7.2
2016,BEST PICTURE,False,Hacksaw Ridge,11,R,139,Australia,Mel Gibson,Biography,English,Summit Entertainment,71.0,8.1
2016,BEST PICTURE,False,Hell or High Water,8,R,102,USA,David Mackenzie,Action,English,Film 44,88.0,7.6
2016,BEST PICTURE,False,Hidden Figures,1,PG,127,USA,Theodore Melfi,Biography,English,20th Century Fox,74.0,7.8
2016,BEST PICTURE,False,La La Land,12,PG-13,128,USA,Damien Chazelle,Comedy,English,Liongate Films,93.0,8.0
2016,BEST PICTURE,False,Lion,1,PG-13,118,UK,Garth Davis,Biography,English,See-Saw Films,69.0,8.0
2016,BEST PICTURE,False,Manchester by the Sea,12,R,137,USA,Kenneth Lonergan,Drama,English,Roadside Attractions ,96.0,7.8
2016,BEST PICTURE,True,Moonlight,11,R,111,USA,Barry Jenkins,Drama,English,A24 Films,99.0,7.4
2017,BEST PICTURE,False,Call Me by Your Name,1,R,132,Italy,Luca Guadagnino,Drama,English,Sony Pictures Classics,93.0,7.9
2017,BEST PICTURE,False,Darkest Hour,12,PG-13,125,UK,Joe Wright,Biography,English,Focus Features,75.0,7.4
2017,BEST PICTURE,False,Dunkirk,7,PG-13,106,UK,Christopher Nolan,Action,English,Warner Bros. Pictures,94.0,7.9
2017,BEST PICTURE,False,Get Out,2,R,104,USA,Jordan Peele,Horror,English,Universal Pictures,84.0,7.7
2017,BEST PICTURE,False,Lady Bird,12,R,94,USA,Greta Gerwig,Comedy,English,A24,94.0,7.4
2017,BEST PICTURE,False,Phantom Thread,1,R,130,USA,Paul Thomas Anderson,Drama,English,Focus Features,90.0,7.5
2017,BEST PICTURE,False,The Post,1,PG-13,116,USA,Steven Spielberg,Biography,English,20th Century Fox,83.0,7.2
2017,BEST PICTURE,True,The Shape of Water,12,R,123,USA,Guillermo del Toro,Adventure,English,Fox Searchlight Pictures,87.0,7.3
2017,BEST PICTURE,False,"Three Billboards Outside Ebbing, Missouri",12,R,115,UK,Martin McDonagh,Comedy,English,Fox Searchlight Pictures,88.0,8.2
