Year,Category,Winner,Title,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
1937,OUTSTANDING PRODUCTION,False,The Good Earth,8,PASSED,138,USA,"Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood",Drama,English,WARNER BROTHERS PICTURES,,7.7
1937,OUTSTANDING PRODUCTION,False,In Old Chicago,4,APPROVED,95,USA,Henry King,Action,English,20th Century Fox Film Corporation,,6.9
1937,OUTSTANDING PRODUCTION,True,The Life of Emile Zola,10,Not Rated,116,USA,William Dieterle,Biography,English,MGM Home Entertainment,,7.2
1937,OUTSTANDING PRODUCTION,False,Lost Horizon,9,Approved,132,USA,Frank Capra,Adventure,English,Sony Pictures Home Entertainment,,7.7
1937,OUTSTANDING PRODUCTION,False,One Hundred Men and a Girl,9,APPROVED,84,USA,Henry Koster,Comedy,English,Universal,,6.9
1937,OUTSTANDING PRODUCTION,False,Stage Door,10,Approved,92,USA,Gregory La Cava,Comedy,English,Warner Home Video,,7.7
1937,OUTSTANDING PRODUCTION,False,A Star Is Born,4,Passed,111,USA,"William A. Wellman, Jack Conway",Drama,English,Image Entertainment Inc.,77.0,7.6
1938,OUTSTANDING PRODUCTION,False,The Adventures of Robin Hood,5,PG,102,USA,"Michael Curtiz, William Keighley",Action,English,Warner Bros.,97.0,7.9
1938,OUTSTANDING PRODUCTION,False,Alexander's Ragtime Band,8,APPROVED,106,USA,Henry King,Drama,English,20th Century Fox Film Corporation,,7.0
1938,OUTSTANDING PRODUCTION,False,Boys Town,9,Passed,96,USA,Norman Taurog,Biography,English,MGM Home Entertainment,,7.3
1938,OUTSTANDING PRODUCTION,False,The Citadel,10,PASSED,110,UK,King Vidor,Drama,English,MGM Home Entertainment,,7.2
1938,OUTSTANDING PRODUCTION,False,Four Daughters,8,Approved,90,USA,Michael Curtiz,Drama,English,Warner Brothers,,7.0
1938,OUTSTANDING PRODUCTION,False,Jezebel,3,Approved,104,USA,William Wyler,Drama,English,MGM Home Entertainment,,7.5
1938,OUTSTANDING PRODUCTION,False,Pygmalion,3,Not Rated,89,UK,"Anthony Asquith, Leslie Howard",Comedy,English,Criterion Collection,,7.8
1938,OUTSTANDING PRODUCTION,False,Test Pilot,4,Passed,119,USA,Victor Fleming,Drama,English,MGM,,6.9
1938,OUTSTANDING PRODUCTION,True,You Can't Take It with You,9,Passed,126,USA,Frank Capra,Comedy,English,Columbia Pictures,,7.9
1939,OUTSTANDING PRODUCTION,False,Dark Victory,4,Approved,104,USA,Edmund Goulding,Drama,English,Twentieth Century Fox Home Entertainment,,7.6
1939,OUTSTANDING PRODUCTION,True,Gone with the Wind,1,Passed,238,USA,"Victor Fleming, George Cukor, Sam Wood",Drama,English,Loew&#39;s Inc.,97.0,8.1
